sidechain_smiles,monomer_smiles,linkage,source,compound_type,molecular_weight,delta_D,delta_P,delta_H,n_unmatched_atoms,has_si,n_si_atoms,used_2nd_order,approx_ring_correction,hsp_error,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,RED_Water,Ra_Diiodomethane,RED_Diiodomethane,Ra_n_Hexadecane,RED_n_Hexadecane,Ra_PTFE,RED_PTFE
Nc1ccc(S(=O)(=O)O)c2cc(S(=O)(=O)O)cc(O)c12,Nc1ccc(S(=O)(=O)O)c2cc(S(=O)(=O)O)cc(OC(=O)[C@@H]3[C@H](C(=O)Oc4cc(S(=O)(=O)O)cc5c(S(=O)(=O)O)ccc(N)c45)[C@@H]4C=C[C@@H]3C4)c12,ester,Combi-Blocks,"monoalcohol,monoamine",319.316,29.3365,58.6492,11.8761,4,False,0,True,True,,29.3365,58.6492,11.8761,59.24831542626338,3.328557046419291,59.75360140485258,8.536228772121797,65.27305524372213,13.054611048744425,68.46797018204937,9.781138597435625
O=S(=O)(NCCCO)c1ccc2c(c1)C(=NO)c1cc(S(=O)(=O)NCCCO)ccc1-2,O=C(OCCCNS(=O)(=O)c1ccc2c(c1)C(=NO)c1cc(S(=O)(=O)NCCCO)ccc1-2)[C@@H]1[C@H](C(=O)OCCCNS(=O)(=O)c2ccc3c(c2)C(=NO)c2cc(S(=O)(=O)NCCCO)ccc2-3)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,diol,469.541,29.9678,58.472,6.9141,2,False,0,True,True,,29.9678,58.472,6.9141,62.39632721699251,3.5054116414040735,59.76892411755461,8.53841773107923,64.91544184683642,12.983088369367284,68.26043678566671,9.751490969380958
COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)Nc3ccccc32)S1,COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)N(C(=O)[C@@H]3[C@H](C(=O)N4c5ccccc5C(=C5SC(C(=O)OC)=C(C(=O)OC)S5)C(=S)C4(C)C)[C@@H]4C=C[C@@H]3C4)c3ccccc32)S1,amide,Combi-Blocks,monoamine,407.538,28.0961,58.4104,4.7883,0,False,0,True,True,,28.0961,58.4104,4.7883,61.97109492247172,3.4815221866557144,58.27459931985805,8.324942759979722,63.17669305914959,12.63533861182992,66.20318894048836,9.457598420069766
Nc1cc(S(=O)(=O)O)c2cc([N+](=O)[O-])cc(S(=O)(=O)O)c2c1,O=C(Nc1cc(S(=O)(=O)O)c2cc([N+](=O)[O-])cc(S(=O)(=O)O)c2c1)[C@@H]1[C@H](C(=O)Nc2cc(S(=O)(=O)O)c3cc([N+](=O)[O-])cc(S(=O)(=O)O)c3c2)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,348.314,28.072,58.4026,7.1767,10,False,0,True,True,,28.072,58.4026,7.1767,60.529723488960364,3.4005462634247396,58.27006663502282,8.32429523357469,63.37735120411707,12.675470240823413,66.3894739070133,9.484210558144756
COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)Nc3ccc(C)cc32)S1,COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)N(C(=O)[C@@H]3[C@H](C(=O)N4c5ccc(C)cc5C(=C5SC(C(=O)OC)=C(C(=O)OC)S5)C(=S)C4(C)C)[C@@H]4C=C[C@@H]3C4)c3ccc(C)cc32)S1,amide,Combi-Blocks,monoamine,421.565,28.0803,58.3222,3.2173,0,False,0,True,True,,28.0803,58.3222,3.2173,62.862404062285115,3.5315957338362423,58.22134354762006,8.317334792517151,62.98358440490665,12.59671688098133,66.0154871563484,9.430783879478343
COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)Nc3cc(C)c(C)cc32)S1,COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)N(C(=O)[C@@H]3[C@H](C(=O)N4c5cc(C)c(C)cc5C(=C5SC(C(=O)OC)=C(C(=O)OC)S5)C(=S)C4(C)C)[C@@H]4C=C[C@@H]3C4)c3cc(C)c(C)cc32)S1,amide,Combi-Blocks,monoamine,435.592,28.0646,58.234,4.0182,0,False,0,True,True,,28.0646,58.234,4.0182,62.2951335168326,3.4997266020692472,58.10187036473095,8.300267194961565,62.936221207504985,12.587244241500997,65.9668736554947,9.4238390936421
Nc1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,O=C(Nc1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1)[C@@H]1[C@H](C(=O)Nc2ccc(C=Cc3ccc([N+](=O)[O-])cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)[C@@H]2C=C[C@@H]1C2,amide,Thermo Fisher Scientific,monoamine,400.39,28.9233,58.0436,4.0109,10,False,0,True,True,,28.9233,58.0436,4.0109,62.88449261407776,3.5328366637122333,58.55474405485861,8.364963436408372,63.423478549587614,12.684695709917523,66.61778044433782,9.516825777762547
Nc1ccc(S(=O)(=O)O)cc1S(=O)(=O)O,O=C(Nc1ccc(S(=O)(=O)O)cc1S(=O)(=O)O)[C@@H]1[C@H](C(=O)Nc2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,253.257,25.8495,57.917,7.3257,4,False,0,True,True,,25.8495,57.917,7.3257,58.3839459996496,3.2799969662724493,56.394567739189206,8.056366819884172,61.423257569832614,12.284651513966523,64.02876049471831,9.14696578495976
CCc1ccc2c(c1)C(=C1SC(C(=O)OC)=C(C(=O)OC)S1)C(=S)C(C)(C)N2,CCc1ccc2c(c1)C(=C1SC(C(=O)OC)=C(C(=O)OC)S1)C(=S)C(C)(C)N2C(=O)[C@@H]1[C@H](C(=O)N2c3ccc(CC)cc3C(=C3SC(C(=O)OC)=C(C(=O)OC)S3)C(=S)C2(C)C)[C@@H]2C=C[C@@H]1C2,amide,Combi-Blocks,monoamine,435.592,27.6346,57.8796,3.5479,0,False,0,True,True,,27.6346,57.8796,3.5479,62.00500156608336,3.4834270542743457,57.484653075494855,8.212093296499265,62.261772535079665,12.452354507015933,65.22886477020737,9.318409252886767
Cc1cc(N)c(S(N)(=O)=O)cc1S(N)(=O)=O,Cc1cc(NC(=O)[C@@H]2[C@H](C(=O)Nc3cc(C)c(S(N)(=O)=O)cc3S(N)(=O)=O)[C@@H]3C=C[C@@H]2C3)c(S(N)(=O)=O)cc1S(N)(=O)=O,amide,Sigma-Aldrich,monoamine,265.316,25.8317,57.8288,5.7547,4,False,0,True,True,,25.8317,57.8288,5.7547,59.26367826156253,3.3294201270540746,56.27089088587456,8.03869869798208,61.161261441291416,12.232252288258284,63.77344949969384,9.110492785670548
N#CC(C#N)=C(C#N)c1ccc(N(CCO)CCO)cc1,N#CC(C#N)=C(C#N)c1ccc(N(CCO)CCOC(=O)[C@@H]2[C@H](C(=O)OCCN(CCO)c3ccc(C(C#N)=C(C#N)C#N)cc3)[C@@H]3C=C[C@@H]2C3)cc1,ester,Sigma-Aldrich,"diol,monoamine",282.303,25.1126,57.7878,11.4861,0,False,0,True,True,,25.1126,57.7878,11.4861,55.365377060849134,3.1104144416207378,56.157144310319055,8.022449187188437,61.498032465193546,12.29960649303871,63.93473920405087,9.133534172007268
