sidechain_smiles,monomer_smiles,source,link,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,Ra_Diiodomethane,Ra_n_Hexadecane,Ra_PTFE,RED_Water,RED_Diiodomethane,RED_n_Hexadecane,RED_PTFE
COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)Nc3ccc(C)cc32)S1,COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)N(C(=O)[C@@H]3[C@H](C(=O)N4c5ccc(C)cc5C(=C5SC(C(=O)OC)=C(C(=O)OC)S5)C(=S)C4(C)C)[C@@H]4C=C[C@@H]3C4)c3ccc(C)cc32)S1,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QY-4115,28.0803,58.3222,3.2173,62.862404062285115,58.22134354762006,62.98358440490665,66.0154871563484,3.5315957338362423,8.317334792517151,12.59671688098133,9.430783879478343
C[Si](C)(C)Nc1ccnc(O[Si](C)(C)C)n1,C[Si](C)(C)Oc1nccc(N(C(=O)[C@@H]2[C@H](C(=O)N(c3ccnc(O[Si](C)(C)C)n3)[Si](C)(C)C)[C@@H]3C=C[C@@H]2C3)[Si](C)(C)C)n1,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/ph011290,17.866300000000003,-22.5406,-6.9194,62.692301660411225,29.21240160411328,23.78591868059756,25.74333637040856,3.522039419124226,4.17320022915904,4.757183736119512,3.677619481486937
N#Cc1c(/N=C2\N/C(=N/c3sc4c(c3C#N)CCCC4)c3ccccc32)sc2c1CCCC2,N#Cc1c(/N=C2/c3ccccc3/C(=N\c3sc4c(c3C#N)CCCC4)N2C(=O)[C@@H]2[C@H](C(=O)N3/C(=N\c4sc5c(c4C#N)CCCC5)c4ccccc4/C3=N\c3sc4c(c3C#N)CCCC4)[C@@H]3C=C[C@@H]2C3)sc2c1CCCC2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/r679445,30.4025,42.9954,-5.6154,62.553778489552485,47.82566720203702,51.72677414376427,55.97902431554162,3.5142572185141843,6.832238171719574,10.345354828752853,7.997003473648803
O=S(=O)(NCCCO)c1ccc2c(c1)C(=NO)c1cc(S(=O)(=O)NCCCO)ccc1-2,O=C(OCCCNS(=O)(=O)c1ccc2c(c1)C(=NO)c1cc(S(=O)(=O)NCCCO)ccc1-2)[C@@H]1[C@H](C(=O)OCCCNS(=O)(=O)c2ccc3c(c2)C(=NO)c2cc(S(=O)(=O)NCCCO)ccc2-3)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/r559032,29.9678,58.472,6.9141,62.39632721699251,59.76892411755461,64.91544184683642,68.26043678566671,3.5054116414040735,8.53841773107923,12.983088369367284,9.751490969380958
CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCOC(=O)[C@@H]3[C@H](C(=O)OCCC4CCN(CCCN5c6ccccc6Sc6ccc(S(=O)(=O)N(C)C)cc65)CC4)[C@@H]4C=C[C@@H]3C4)CC1)c1ccccc1S2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/cds021619?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,32.3337,50.7162,3.0247,62.299739608524845,55.161557585786134,60.07994586623727,64.2122297953435,3.4999853712654407,7.880222512255162,12.015989173247453,9.173175685049072
COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)Nc3cc(C)c(C)cc32)S1,COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)N(C(=O)[C@@H]3[C@H](C(=O)N4c5cc(C)c(C)cc5C(=C5SC(C(=O)OC)=C(C(=O)OC)S5)C(=S)C4(C)C)[C@@H]4C=C[C@@H]3C4)c3cc(C)c(C)cc32)S1,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QY-0612,28.0646,58.234,4.0182,62.2951335168326,58.10187036473095,62.936221207504985,65.9668736554947,3.4997266020692472,8.300267194961565,12.587244241500997,9.4238390936421
CC(C)(C)[Si](C)(C)Oc1cc(O)cc(O[Si](C)(C)C(C)(C)C)c1,CC(C)(C)[Si](C)(C)Oc1cc(OC(=O)[C@@H]2[C@H](C(=O)Oc3cc(O[Si](C)(C)C(C)(C)C)cc(O[Si](C)(C)C(C)(C)C)c3)[C@@H]3C=C[C@@H]2C3)cc(O[Si](C)(C)C(C)(C)C)c1,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QD-6614,15.9128,-25.6556,-3.9976,62.28433504887083,31.27273560915322,25.976726361880168,26.748438318526187,3.4991199465657767,4.46753365845046,5.195345272376033,3.8212054740751698
CCc1ccc2c(c1)C(=C1SC(C(=O)OC)=C(C(=O)OC)S1)C(=S)C(C)(C)N2,CCc1ccc2c(c1)C(=C1SC(C(=O)OC)=C(C(=O)OC)S1)C(=S)C(C)(C)N2C(=O)[C@@H]1[C@H](C(=O)N2c3ccc(CC)cc3C(=C3SC(C(=O)OC)=C(C(=O)OC)S3)C(=S)C2(C)C)[C@@H]2C=C[C@@H]1C2,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QZ-8323,27.6346,57.8796,3.5479,62.00500156608336,57.484653075494855,62.261772535079665,65.22886477020737,3.4834270542743457,8.212093296499265,12.452354507015933,9.318409252886767
Nc1c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c1Cl,NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)[C@@H]2[C@H](C(=O)Nc3c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c3Cl)[C@@H]3C=C[C@@H]2C3)c(Cl)c1Cl,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/ph011193,27.5652,59.849,5.7425,61.97952735710397,59.26032341634662,64.20668213986765,67.07291399223683,3.481995918938425,8.465760488049517,12.84133642797353,9.581844856033834
COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)Nc3ccccc32)S1,COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)N(C(=O)[C@@H]3[C@H](C(=O)N4c5ccccc5C(=C5SC(C(=O)OC)=C(C(=O)OC)S5)C(=S)C4(C)C)[C@@H]4C=C[C@@H]3C4)c3ccccc32)S1,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QY-3921,28.0961,58.4104,4.7883,61.97109492247172,58.27459931985805,63.17669305914959,66.20318894048836,3.4815221866557144,8.324942759979722,12.63533861182992,9.457598420069766
