sidechain_smiles,monomer_smiles,linkage,source,compound_type,molecular_weight,delta_D,delta_P,delta_H,n_unmatched_atoms,has_si,n_si_atoms,used_2nd_order,approx_ring_correction,hsp_error,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,RED_Water,Ra_Diiodomethane,RED_Diiodomethane,Ra_n_Hexadecane,RED_n_Hexadecane,Ra_PTFE,RED_PTFE
CC(C)(CO)CO[Si](C)(C)C(C)(C)C,CC(C)(COC(=O)[C@@H]1[C@H](C(=O)OCC(C)(C)CO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2)CO[Si](C)(C)C(C)(C)C,ester,Sigma-Aldrich,monoalcohol,218.413,13.9971,4.2344,7.5682,0,True,2,True,True,,13.6141,-3.8032,0.9516,46.000906382809454,2.584320583303902,12.252112799023685,1.750301828431955,6.650271275669888,1.3300542551339776,4.325758666407548,0.6179655237725069
CC(C)(O)CC1=CCCCC1,CC(C)(CC1=CCCCC1)OC(=O)[C@@H]1[C@H](C(=O)OC(C)(C)CC2=CCCCC2)[C@@H]2C=C[C@@H]1C2,ester,Ambeed,monoalcohol,154.253,13.1443,1.6342,3.9172,0,False,0,True,True,,13.1443,1.6342,3.9172,41.253034257373116,2.3175861942344445,9.712943706209773,1.387563386601396,7.605842191368424,1.5211684382736848,4.336435799132739,0.6194908284475342
CC(C)(C)[Si](C)(C)OCCO,CC(C)(C)[Si](C)(C)OCCOC(=O)[C@@H]1[C@H](C(=O)OCCO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,ester,Ambeed,monoalcohol,176.332,15.1591,6.7622,6.6146,0,True,2,True,True,,14.7761,-1.2753999999999994,-0.0019999999999997,45.716460646029894,2.5683404857320165,9.676396746723443,1.3823423923890632,3.30389679015553,0.660779358031106,4.3436636610124415,0.6205233801446345
CCCCCCCCC(C)(C)O,CCCCCCCCC(C)(C)OC(=O)[C@@H]1[C@H](C(=O)OC(C)(C)CCCCCCCC)[C@@H]2C=C[C@@H]1C2,ester,Ambeed,monoalcohol,172.312,12.8739,-1.076,4.278,0,False,0,True,True,,12.8739,-1.076,4.278,42.01009241646583,2.3601175514868444,11.104940559948982,1.5864200799927117,8.149337693334349,1.6298675386668697,4.424932184791084,0.6321331692558692
CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,CCCCCCCCCCCC1=C(O)C(=O)C=C(OC(=O)[C@@H]2[C@H](C(=O)OC3=CC(=O)C(O)=C(CCCCCCCCCCC)C3=O)[C@@H]3C=C[C@@H]2C3)C1=O,ester,Sigma-Aldrich,diol,294.391,14.6894,-0.9344,1.7132,4,False,0,True,True,,14.6894,-0.9344,1.7132,44.00784619860417,2.472350910033942,8.741544888633818,1.2487921269476883,3.7662032658899363,0.7532406531779873,4.431591930672317,0.6330845615246167
CC(C)(C)[Si](C)(C)OCCCCCN,CC(C)(C)[Si](C)(C)OCCCCCNC(=O)[C@@H]1[C@H](C(=O)NCCCCCO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,217.429,14.8041,5.7692,4.9418,0,True,2,True,True,,14.4211,-2.2684,-1.6748000000000005,47.66732187190717,2.6779394310060205,11.62732877491645,1.6610469678452071,4.698047939304156,0.9396095878608313,4.4496443048855046,0.6356634721265007
C=C(C)CNCC,C=C(C)CN(CC)C(=O)[C@@H]1[C@H](C(=O)N(CC)CC(=C)C)[C@@H]2C=C[C@@H]1C2,amide,Combi-Blocks,monoamine,99.177,13.3106,0.1668,4.3292,0,False,0,True,True,,13.3106,0.1668,4.3292,41.37204085273048,2.3242719580185662,9.79420258724517,1.3991717981778815,7.3834845648921075,1.4766969129784215,4.501235865848401,0.6430336951212002
CCCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,CCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC(=O)[C@@H]2[C@H](C(=O)OC3=CC(=O)C(O)=C(CCCCCCCCCCCCC)C3=O)[C@@H]3C=C[C@@H]2C3)C1=O,ester,Oakwood Products,diol,322.445,14.7547,-1.4788,1.2488,4,False,0,True,True,,14.7547,-1.4788,1.2488,44.64225979092008,2.5079921230853977,9.17058336421408,1.3100833377448686,3.646664124922943,0.7293328249845886,4.542413371766159,0.6489161959665941
CCCCCCCC1=C(O)C(=O)C=C(O)C1=O,CCCCCCCC1=C(O)C(=O)C=C(OC(=O)[C@@H]2[C@H](C(=O)OC3=CC(=O)C(O)=C(CCCCCCC)C3=O)[C@@H]3C=C[C@@H]2C3)C1=O,ester,Oakwood Products,diol,238.283,14.5576,0.1544,2.642,4,False,0,True,True,,14.5576,0.1544,2.642,42.74801135023709,2.4015736713616342,8.015629382649875,1.145089911807125,4.3758238538588365,0.8751647707717674,4.561437755795866,0.6516339651136951
CNCC(C)C,CC(C)CN(C)C(=O)[C@@H]1[C@H](C(=O)N(C)CC(C)C)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,87.166,13.941,-0.6548,3.7715,0,False,0,True,True,,13.941,-0.6548,3.7715,42.0897802238263,2.3645943945969834,9.126962215874459,1.3038517451249227,6.0755657588408996,1.21511315176818,4.562159498526987,0.6517370712181411
