smiles,compound_type,reason
CN1CCC(=O)NCC1,monoamine,no free amine NH found
C1COCCOCCOCCOCCN1C2=CC=C(C=C2)C=O,monoamine,no free amine NH found
C1COCCOCCOCCOCCOCCN1C2=CC=CC=C2,monoamine,no free amine NH found
C1COCCOCCOCCOCCOCCN1C2=CC=C(C=C2)C=O,monoamine,no free amine NH found
COC(=O)/C/1=C/CCCCCCCCCC/C(=C1/C(=O)OC)/N2CCCC2,monoamine,no free amine NH found
C1=CC=CN(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,monoamine,no free amine NH found
CC1=C(C2(C(=C(C1(N2C3=CC=CC=C3)C)C)C)C)C,monoamine,no free amine NH found
CCOC(CN(CC1=CC=CC=C1)CC(OCC)OCC)OCC,monoamine,no free amine NH found
C1CN1P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,monoamine,no free amine NH found
C1C=CCC23C1(CC=CC2)CN(C3)N=O,monoamine,no free amine NH found
COC(=O)/C/1=C/CCCCCC/C(=C1/C(=O)OC)/N2CCCC2,monoamine,no free amine NH found
COC(=O)/C/1=C/CCCCC/C(=C1/C(=O)OC)/N2CCCC2,monoamine,no free amine NH found
CN(C)/C/1=C(/C=C(\CCCC1)/S(=O)(=O)C)\S(=O)(=O)C,monoamine,no free amine NH found
CN1CCCCC2=CC=CC=C21,monoamine,no free amine NH found
C1CCN(C1)/C=C\2/CC3C4=CC=CC=C4C2C5=CC=CC=C35,monoamine,no free amine NH found
CCN(CC)C(C)(C)CC(C)(C)C,monoamine,no free amine NH found
CC/C(=C\C1=[N+](C2=C(S1)C=CC(=C2)C)CC(=O)[O-])/C=C\3/N(C4=C(S3)C=CC(=C4)C)CC,monoamine,no free amine NH found
CC(=NOCCN1CCOCC1)C,monoamine,no free amine NH found
CCN(CC)OCCCOC(=O)C,monoamine,no free amine NH found
C1=CC=C2C(=C1)N(C3=C(S2)C=CC(=C3)Cl)CCCl,monoamine,no free amine NH found
CN(C)CC1=CNC2=C1C=C(C=C2)OCC3=CC=CC=C3,monoamine,no free amine NH found
CN(C1=CC=CC=C1)/N=C\C2=CC=[N+](C=C2)[O-],monoamine,no free amine NH found
C1=CC=C(C=C1)N=NC=C2C=CN(C=C2)O,monoamine,no free amine NH found
CCN(C1=CC=CC=C1)/N=C\C2=CC=[N+](C=C2)[O-],monoamine,no free amine NH found
C1CCCN(CC1)CCONC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24,monoamine,no free amine NH found
CC1=CC=C(C=C1)S(=O)(=O)OCCN2C3=CC=CC=C3SC4=CC=CC=C42,monoamine,no free amine NH found
CC(=NOCCN1C2=CC=CC=C2SC3=CC=CC=C31)C,monoamine,no free amine NH found
C1CCN(CC1)/C=C/S(=O)(=O)CC2=CC=CC=C2,monoamine,no free amine NH found
C1CCN(C1)C2=CC3=CC=CC=C3C=C2,monoamine,no free amine NH found
