sidechain_smiles,monomer_smiles,source,link,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,Ra_Diiodomethane,Ra_n_Hexadecane,Ra_PTFE,RED_Water,RED_Diiodomethane,RED_n_Hexadecane,RED_PTFE
O=S(=O)(NCCCO)c1ccc2c(c1)C(=NO)c1cc(S(=O)(=O)NCCCO)ccc1-2,O=C(OCCCNS(=O)(=O)c1ccc2c(c1)C(=NO)c1cc(S(=O)(=O)NCCCO)ccc1-2)[C@@H]1[C@H](C(=O)OCCCNS(=O)(=O)c2ccc3c(c2)C(=NO)c2cc(S(=O)(=O)NCCCO)ccc2-3)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/r559032,29.9678,58.472,6.9141,62.39632721699251,59.76892411755461,64.91544184683642,68.26043678566671,3.5054116414040735,8.53841773107923,12.983088369367284,9.751490969380958
Nc1ccc(S(=O)(=O)O)c2cc(S(=O)(=O)O)cc(O)c12,Nc1ccc(S(=O)(=O)O)c2cc(S(=O)(=O)O)cc(OC(=O)[C@@H]3[C@H](C(=O)Oc4cc(S(=O)(=O)O)cc5c(S(=O)(=O)O)ccc(N)c45)[C@@H]4C=C[C@@H]3C4)c12,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QC-7207,29.3365,58.6492,11.8761,59.24831542626338,59.75360140485258,65.27305524372213,68.46797018204937,3.328557046419291,8.536228772121797,13.054611048744425,9.781138597435625
COc1ccc2c(c1)N(C)/C(=C1\SC(=S)N(N)C1=O)S2,COc1ccc2c(c1)N(C)/C(=C1\SC(=S)N(NC(=O)[C@@H]3[C@H](C(=O)NN4C(=O)/C(=C5\Sc6ccc(OC)cc6N5C)SC4=S)[C@@H]4C=C[C@@H]3C4)C1=O)S2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/l203440,29.2938,57.181,18.9967,54.772203038128744,59.577307975856044,65.61933195065308,68.78923001204477,3.0770900583218395,8.511043996550864,13.123866390130615,9.827032858863538
Cc1cc(N=Nc2c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)cc(N)c3c2O)ccc1O,Cc1cc(N=Nc2c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)cc(NC(=O)[C@@H]4[C@H](C(=O)Nc5cc(S(=O)(=O)O)cc6cc(S(=O)(=O)O)c(N=Nc7ccc(O)c(C)c7)c(O)c56)[C@@H]5C=C[C@@H]4C5)c3c2O)ccc1O,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/s984191,31.2977,49.2304,32.7787,46.831441778040535,59.3946484037914,66.31590668165519,69.86825630434754,2.6309798751708167,8.4849497719702,13.263181336331039,9.981179472049648
Nc1c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c1Cl,NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)[C@@H]2[C@H](C(=O)Nc3c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c3Cl)[C@@H]3C=C[C@@H]2C3)c(Cl)c1Cl,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/ph011193,27.5652,59.849,5.7425,61.97952735710397,59.26032341634662,64.20668213986765,67.07291399223683,3.481995918938425,8.465760488049517,12.84133642797353,9.581844856033834
Nc1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,O=C(Nc1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1)[C@@H]1[C@H](C(=O)Nc2ccc(C=Cc3ccc([N+](=O)[O-])cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)[C@@H]2C=C[C@@H]1C2,Thermo Fisher Scientific,https://www.thermofisher.com/order/catalog/product/B21467.06,28.9233,58.0436,4.0109,62.88449261407776,58.55474405485861,63.423478549587614,66.61778044433782,3.5328366637122333,8.364963436408372,12.684695709917523,9.516825777762547
CC(=O)C(N)(C(C)=O)C(C)=O,CC(=O)C(NC(=O)[C@@H]1[C@H](C(=O)NC(C(C)=O)(C(C)=O)C(C)=O)[C@@H]2C=C[C@@H]1C2)(C(C)=O)C(C)=O,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/r464201,-10.2418,11.018,20.6681,56.06532342339602,58.53295969426115,58.02098991373725,51.51573963916271,3.1497372709773046,8.36185138489445,11.60419798274745,7.359391377023244
COc1ccc(S(=O)(=O)NCCCC(=O)Nc2ccc(Sc3ccc(N)cc3)cc2)cc1,COc1ccc(S(=O)(=O)NCCCC(=O)Nc2ccc(Sc3ccc(NC(=O)[C@@H]4[C@H](C(=O)Nc5ccc(Sc6ccc(NC(=O)CCCNS(=O)(=O)c7ccc(OC)cc7)cc6)cc5)[C@@H]5C=C[C@@H]4C5)cc3)cc2)cc1,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/sigma/b0186?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,30.4895,56.3122,10.0473,59.69966974054379,58.410703532229434,63.85436357156807,67.36376880141134,3.3539140303676285,8.34438621888992,12.770872714313615,9.623395543058763
COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)Nc3ccccc32)S1,COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)N(C(=O)[C@@H]3[C@H](C(=O)N4c5ccccc5C(=C5SC(C(=O)OC)=C(C(=O)OC)S5)C(=S)C4(C)C)[C@@H]4C=C[C@@H]3C4)c3ccccc32)S1,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QY-3921,28.0961,58.4104,4.7883,61.97109492247172,58.27459931985805,63.17669305914959,66.20318894048836,3.4815221866557144,8.324942759979722,12.63533861182992,9.457598420069766
Nc1cc(S(=O)(=O)O)c2cc([N+](=O)[O-])cc(S(=O)(=O)O)c2c1,O=C(Nc1cc(S(=O)(=O)O)c2cc([N+](=O)[O-])cc(S(=O)(=O)O)c2c1)[C@@H]1[C@H](C(=O)Nc2cc(S(=O)(=O)O)c3cc([N+](=O)[O-])cc(S(=O)(=O)O)c3c2)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,http://www.sigmaaldrich.com/catalog/product/aldrich/l163023,28.072,58.4026,7.1767,60.529723488960364,58.27006663502282,63.37735120411707,66.3894739070133,3.4005462634247396,8.32429523357469,12.675470240823413,9.484210558144756
